路線去回,中文站點名稱,time
303去程,鹿寮,2
303去程,鹿寮成衣商圈,5
303去程,家扶中心,5
303去程,鹿寮國中(光大路),4
303去程,光華成功東街口,3
303去程,沙鹿高工(臺灣大道),4
303去程,竹林國小,3
303去程,竹林里,3
303去程,紅竹巷,6
303去程,臺灣大道北勢路口,4
303去程,靜宜大學,3
303去程,晉江寮,6
303去程,弘光科技大學,3
303去程,正英路,6
303去程,坪頂,2
303去程,東海別墅,5
303去程,榮總/東海大學,6
303去程,玉門路,3
303去程,澄清醫院,5
303去程,中港新城,2
303去程,福安,5
303去程,秋紅谷,3
303去程,新光/遠百,5
303去程,市政府,5
303去程,頂何厝,6
303去程,忠明國小,3
303去程,科博館,3
303去程,中正國小,2
303去程,茄苳腳,6
303去程,臺灣大道原子街口,5
303去程,臺灣大道中華路口,4
303去程,仁愛醫院,6
303去程,第二市場(臺灣大道),5
303去程,彰化銀行(臺灣大道),2
303去程,第一廣場,2
303去程,干城站,2
303去程,臺中公園(雙十路),5
303去程,中興堂,3
303去程,國立臺中科技大學,2
303去程,中友百貨,5
303去程,市立殯儀館,2
303去程,新民高中(健行路),4
303回程,新民高中(健行路),2
303回程,寶覺寺,3
303回程,新民高中(三民路),5
303回程,一心市場,5
303回程,中友百貨,6
303回程,國立臺中科技大學,6
303回程,中興堂,5
303回程,臺中公園(雙十路),6
303回程,干城站,6
303回程,臺中火車站,3
303回程,第一廣場,2
303回程,彰化銀行(臺灣大道),2
303回程,第二市場(臺灣大道),3
303回程,仁愛醫院,4
303回程,臺灣大道中華路口,2
303回程,臺灣大道原子街口,2
303回程,茄苳腳,2
303回程,中正國小,5
303回程,科博館,3
303回程,忠明國小,3
303回程,頂何厝,2
303回程,市政府,2
303回程,新光/遠百,6
303回程,秋紅谷,5
303回程,福安,6
303回程,中港新城,2
303回程,澄清醫院,5
303回程,玉門路,3
303回程,榮總/東海大學,2
303回程,東海別墅,4
303回程,坪頂,4
303回程,正英路,6
303回程,弘光科技大學,6
303回程,晉江寮,2
303回程,靜宜大學,5
303回程,臺灣大道北勢路口,2
303回程,紅竹巷,4
303回程,竹林里,6
303回程,竹林國小,3
303回程,沙鹿高工(臺灣大道),5
303回程,光華成功東街口,4
303回程,鹿寮國中(光大路),5
303回程,家扶中心,3
303回程,鹿寮成衣商圈,4
303回程,鹿寮,6
303回程,中山長春路口,3
303回程,中峰,4
303回程,勞工育樂中心,4
303回程,鹿峰里,5
303回程,中山星河路口,2
303回程,清水火車站(中山路),3
303回程,清水高中(中山路),3
303回程,華南銀行(清水分行),3
303回程,分局前,5
303回程,鰲峰西社路口,2
303回程,社口,6
303回程,銀聯二村,3
303回程,清水國中,3
303回程,清水區公所(鎮政路),6
303回程,港區藝術中心(鎮政路),4
304去程,港區藝術中心(鎮政路),2
304去程,南社郵局,4
304去程,五權南平等路口,4
304去程,慈濟靜思堂(五權路),3
304去程,五權華江北街口,3
304去程,五權民享路口,6
304去程,五權民有路口,2
304去程,五權東鎮新路口,2
304去程,西寧國小,6
304去程,中山高美路口,4
304去程,中山董公街口,4
304去程,清水,3
304去程,華南銀行(清水分行),5
304去程,清水高中(中山路),3
304去程,清水火車站(中山路),4
304去程,中山星河路口,6
304去程,鹿峰里,4
304去程,勞工育樂中心,4
304去程,中峰,2
304去程,中山長春路口,4
304去程,鹿寮,4
304去程,鹿寮成衣商圈,3
304去程,家扶中心,4
304去程,文化莊,5
304去程,童綜合醫院(沙鹿院區),3
304去程,居仁里,4
304去程,沙鹿高工(臺灣大道),3
304去程,竹林國小,2
304去程,竹林里,6
304去程,紅竹巷,3
304去程,臺灣大道北勢路口,3
304去程,靜宜大學,2
304去程,晉江寮,5
304去程,弘光科技大學,2
304去程,正英路,3
304去程,坪頂,2
304去程,東海別墅,2
304去程,榮總/東海大學,2
304去程,玉門路,6
304去程,澄清醫院,5
304去程,中港新城,2
304去程,福安,3
304去程,秋紅谷,4
304去程,新光/遠百,5
304去程,市政府,6
304去程,頂何厝,5
304去程,忠明國小,2
304去程,科博館,4
304去程,中正國小,6
304去程,茄苳腳,5
304去程,臺灣大道原子街口,3
304去程,臺灣大道中華路口,4
304去程,仁愛醫院,2
304去程,第二市場(臺灣大道),2
304去程,彰化銀行(臺灣大道),6
304去程,第一廣場,4
304去程,干城站,2
304去程,立體停車場(雙十路),4
304去程,臺中公園(雙十路),2
304去程,中興堂,5
304去程,國立臺中科技大學,5
304去程,中友百貨,5
304去程,市立殯儀館,4
304去程,新民高中(健行路),6
304回程,新民高中(健行路),3
304回程,寶覺寺,3
304回程,新民高中(三民路),5
304回程,一心市場,6
304回程,中友百貨,3
304回程,國立臺中科技大學,4
304回程,中興堂,3
304回程,臺中公園(雙十路),2
304回程,干城站,3
304回程,臺中火車站,3
304回程,第一廣場,4
304回程,彰化銀行(臺灣大道),6
304回程,第二市場(臺灣大道),4
304回程,仁愛醫院,6
304回程,臺灣大道中華路口,6
304回程,臺灣大道原子街口,6
304回程,茄苳腳,5
304回程,中正國小,6
304回程,科博館,3
304回程,忠明國小,2
304回程,頂何厝,4
304回程,市政府,5
304回程,新光/遠百,6
304回程,秋紅谷,4
304回程,福安,6
304回程,中港新城,6
304回程,澄清醫院,3
304回程,玉門路,3
304回程,榮總/東海大學,3
304回程,東海別墅,4
304回程,坪頂,3
304回程,正英路,3
304回程,弘光科技大學,3
304回程,晉江寮,5
304回程,靜宜大學,5
304回程,臺灣大道北勢路口,6
304回程,紅竹巷,3
304回程,竹林里,4
304回程,竹林國小,3
304回程,沙鹿高工(臺灣大道),4
304回程,居仁里,6
304回程,童綜合醫院(沙鹿院區),3
304回程,文化莊,5
304回程,家扶中心,5
304回程,鹿寮成衣商圈,3
304回程,鹿寮,5
304回程,中山長春路口,4
304回程,中峰,2
304回程,勞工育樂中心,4
304回程,鹿峰里,6
304回程,中山星河路口,2
304回程,清水火車站(中山路),4
304回程,清水高中(中山路),2
304回程,華南銀行(清水分行),3
304回程,清水,6
304回程,中山董公街口,6
304回程,西寧國小,2
304回程,五權東鎮新路口,6
304回程,五權民有路口,5
304回程,五權民享路口,4
304回程,五權華江北街口,6
304回程,慈濟靜思堂(五權路),4
304回程,五權南平等路口,3
304回程,南社郵局,3
304回程,港區藝術中心(鎮政路),3
305去程,巨業大甲停車場,4
305去程,大甲郵局,2
305去程,大甲火車站,4
305去程,大甲,2
305去程,南陽里,6
305去程,大甲高中(中山路),3
305去程,水尾橋,2
305去程,外水尾,6
305去程,番子寮,5
305去程,武陵里,2
305去程,水汴頭,2
305去程,大甲溪橋,4
305去程,甲南(中山路),4
305去程,劉厝,6
305去程,中牛埔,2
305去程,菁埔庄,5
305去程,頂湳子,4
305去程,福元批發,4
305去程,三田國小,5
305去程,下湳子,3
305去程,朝興宮,3
305去程,下湳加油站,5
305去程,中山高美路口,2
305去程,中山董公街口,6
305去程,清水,2
305去程,華南銀行(清水分行),5
305去程,清水高中(中山路),4
305去程,清水火車站(中山路),5
305去程,中山星河路口,2
305去程,鹿峰里,4
305去程,勞工育樂中心,2
305去程,中峰,4
305去程,中山長春路口,2
305去程,鹿寮,2
305去程,鹿寮成衣商圈,5
305去程,家扶中心,4
305去程,文化莊,5
305去程,童綜合醫院(沙鹿院區),5
305去程,第一銀行(沙鹿分行),4
305去程,巨業沙鹿站,6
305去程,居仁里,4
305去程,沙鹿高工(臺灣大道),6
305去程,竹林國小,6
305去程,竹林里,5
305去程,紅竹巷,3
305去程,臺灣大道北勢路口,3
305去程,靜宜大學,3
305去程,晉江寮,5
305去程,弘光科技大學,2
305去程,正英路,6
305去程,坪頂,2
305去程,東海別墅,6
305去程,榮總/東海大學,3
305去程,玉門路,2
305去程,澄清醫院,4
305去程,中港新城,2
305去程,福安,6
305去程,秋紅谷,5
305去程,新光/遠百,3
305去程,市政府,6
305去程,頂何厝,3
305去程,忠明國小,3
305去程,科博館,3
305去程,中正國小,6
305去程,茄苳腳,3
305去程,臺灣大道原子街口,3
305去程,臺灣大道中華路口,5
305去程,仁愛醫院,6
305去程,第二市場(臺灣大道),3
305去程,彰化銀行(臺灣大道),3
305去程,第一廣場,6
305去程,臺中火車站,2
305回程,臺中火車站,6
305回程,第一廣場,3
305回程,彰化銀行(臺灣大道),2
305回程,第二市場(臺灣大道),5
305回程,仁愛醫院,4
305回程,臺灣大道中華路口,6
305回程,臺灣大道原子街口,4
305回程,茄苳腳,4
305回程,中正國小,2
305回程,科博館,6
305回程,忠明國小,3
305回程,頂何厝,6
305回程,市政府,4
305回程,新光/遠百,4
305回程,秋紅谷,4
305回程,福安,6
305回程,中港新城,2
305回程,澄清醫院,6
305回程,玉門路,4
305回程,榮總/東海大學,6
305回程,東海別墅,3
305回程,坪頂,2
305回程,正英路,4
305回程,弘光科技大學,4
305回程,晉江寮,2
305回程,靜宜大學,3
305回程,臺灣大道北勢路口,6
305回程,紅竹巷,3
305回程,中山臺灣大道口,6
305回程,中山鎮政路口,6
305回程,沙鹿高工(中山路),2
305回程,洛泉里,5
305回程,巨業沙鹿站,3
305回程,第一銀行(沙鹿分行),2
305回程,童綜合醫院(沙鹿院區),6
305回程,文化莊,5
305回程,家扶中心,6
305回程,鹿寮成衣商圈,5
305回程,鹿寮,5
305回程,中山長春路口,2
305回程,中峰,3
305回程,勞工育樂中心,6
305回程,鹿峰里,3
305回程,中山星河路口,5
305回程,清水火車站(中山路),5
305回程,清水高中(中山路),5
305回程,華南銀行(清水分行),2
305回程,清水,2
305回程,中山董公街口,5
305回程,中山高美路口,6
305回程,下湳加油站,5
305回程,朝興宮,4
305回程,下湳子,6
305回程,三田國小,6
305回程,福元批發,4
305回程,頂湳子,3
305回程,菁埔庄,2
305回程,中牛埔,6
305回程,劉厝,6
305回程,甲南(中山路),6
305回程,大甲溪橋,3
305回程,水汴頭,3
305回程,武陵里,2
305回程,番子寮,2
305回程,外水尾,3
305回程,水尾橋,5
305回程,大甲高中(中山路),6
305回程,南陽里(中山路),4
305回程,大甲,3
305回程,大甲火車站,3
305回程,大甲郵局,3
305回程,巨業大甲停車場,4
305E去程,巨業大甲停車場,4
305E去程,大甲郵局,2
305E去程,大甲火車站,3
305E去程,大甲,5
305E去程,南陽里,5
305E去程,大甲高中(中山路),2
305E去程,水尾橋,4
305E去程,外水尾,3
305E去程,番子寮,6
305E去程,武陵里,6
305E去程,水汴頭,3
305E去程,大甲溪橋,3
305E去程,甲南(中山路),6
305E去程,劉厝,4
305E去程,中牛埔,2
305E去程,菁埔庄,3
305E去程,頂湳子,2
305E去程,福元批發,2
305E去程,三田國小,5
305E去程,下湳子,3
305E去程,朝興宮,5
305E去程,下湳加油站,3
305E去程,中山高美路口,5
305E去程,中山董公街口,2
305E去程,清水,3
305E去程,華南銀行(清水分行),2
305E去程,清水高中(中山路),6
305E去程,清水火車站(中山路),2
305E去程,中山星河路口,3
305E去程,鹿峰里,4
305E去程,勞工育樂中心,3
305E去程,中峰,6
305E去程,中山長春路口,6
305E去程,鹿寮,4
305E去程,鹿寮成衣商圈,4
305E去程,家扶中心,4
305E去程,文化莊,4
305E去程,童綜合醫院(沙鹿院區),4
305E去程,第一銀行(沙鹿分行),3
305E去程,巨業沙鹿站,5
305E去程,居仁里,2
305E去程,沙鹿高工(臺灣大道),4
305E去程,竹林國小,6
305E去程,竹林里,5
305E去程,紅竹巷,5
305E去程,臺灣大道北勢路口,5
305E去程,靜宜大學,4
305E去程,晉江寮,6
305E去程,弘光科技大學,4
305E去程,正英路,5
305E去程,坪頂,4
305E去程,東海別墅,3
305E去程,榮總/東海大學,6
305E去程,玉門路,5
305E去程,澄清醫院,2
305E去程,中港新城,2
305E去程,福安,4
305E去程,秋紅谷,4
305E去程,新光/遠百,2
305E去程,市政府,4
305E去程,頂何厝,6
305E去程,忠明國小,4
305E去程,科博館,6
305E去程,中正國小,5
305E去程,茄苳腳,2
305E去程,臺灣大道原子街口,4
305E去程,臺灣大道中華路口,5
305E去程,仁愛醫院,2
305E去程,第二市場(臺灣大道),5
305E去程,彰化銀行(臺灣大道),6
305E去程,第一廣場,5
305E去程,臺中火車站,6
305W去程,臺中火車站,2
305W去程,第一廣場,4
305W去程,彰化銀行(臺灣大道),5
305W去程,第二市場(臺灣大道),5
305W去程,仁愛醫院,3
305W去程,臺灣大道中華路口,6
305W去程,臺灣大道原子街口,6
305W去程,茄苳腳,3
305W去程,中正國小,2
305W去程,科博館,6
305W去程,忠明國小,5
305W去程,頂何厝,6
305W去程,市政府,3
305W去程,新光/遠百,5
305W去程,秋紅谷,3
305W去程,福安,3
305W去程,中港新城,6
305W去程,澄清醫院,5
305W去程,玉門路,4
305W去程,榮總/東海大學,5
305W去程,東海別墅,3
305W去程,坪頂,6
305W去程,正英路,5
305W去程,弘光科技大學,5
305W去程,晉江寮,5
305W去程,靜宜大學,4
305W去程,臺灣大道北勢路口,4
305W去程,紅竹巷,6
305W去程,中山臺灣大道口,5
305W去程,中山鎮政路口,3
305W去程,沙鹿高工(中山路),4
305W去程,洛泉里,6
305W去程,巨業沙鹿站,3
305W去程,第一銀行(沙鹿分行),4
305W去程,童綜合醫院(沙鹿院區),2
305W去程,文化莊,4
305W去程,家扶中心,6
305W去程,鹿寮成衣商圈,2
305W去程,鹿寮,6
305W去程,中山長春路口,4
305W去程,中峰,2
305W去程,勞工育樂中心,3
305W去程,鹿峰里,6
305W去程,中山星河路口,5
305W去程,清水火車站(中山路),6
305W去程,清水高中(中山路),2
305W去程,華南銀行(清水分行),6
305W去程,清水,4
305W去程,中山董公街口,5
305W去程,中山高美路口,5
305W去程,下湳加油站,2
305W去程,朝興宮,2
305W去程,下湳子,5
305W去程,三田國小,5
305W去程,福元批發,5
305W去程,頂湳子,6
305W去程,菁埔庄,3
305W去程,中牛埔,2
305W去程,劉厝,5
305W去程,甲南(中山路),2
305W去程,大甲溪橋,6
305W去程,水汴頭,2
305W去程,武陵里,5
305W去程,番子寮,4
305W去程,外水尾,5
305W去程,水尾橋,2
305W去程,大甲高中(中山路),6
305W去程,南陽里(中山路),2
305W去程,大甲,3
305W去程,大甲火車站,3
305W去程,大甲郵局,6
305W去程,巨業大甲停車場,4
305區去程,巨業沙鹿站,3
305區去程,第一銀行(沙鹿分行),3
305區去程,童綜合醫院(沙鹿院區),5
305區去程,文化莊,5
305區去程,家扶中心,4
305區去程,鹿寮成衣商圈,2
305區去程,鹿寮,4
305區去程,中山長春路口,4
305區去程,中峰,4
305區去程,勞工育樂中心,3
305區去程,鹿峰里,4
305區去程,中山星河路口,2
305區去程,清水火車站(中山路),4
305區去程,清水高中(中山路),3
305區去程,華南銀行(清水分行),5
305區去程,清水,5
305區去程,中山董公街口,3
305區去程,中山高美路口,6
305區去程,下湳加油站,6
305區去程,朝興宮,6
305區去程,下湳子,4
305區去程,三田國小,5
305區去程,福元批發,2
305區去程,頂湳子,6
305區去程,菁埔庄,6
305區去程,中牛埔,2
305區去程,劉厝,2
305區去程,甲南(中山路),2
305區去程,大甲溪橋,4
305區去程,水汴頭,4
305區去程,武陵里,6
305區去程,番子寮,2
305區去程,外水尾,5
305區去程,水尾橋,2
305區去程,大甲高中(中山路),6
305區去程,南陽里(中山路),6
305區去程,大甲,3
305區去程,大甲火車站,6
305區去程,大甲郵局,3
305區去程,巨業大甲停車場,6
306去程,清水,2
306去程,分局前,3
306去程,鰲峰西社路口,6
306去程,社口,5
306去程,銀聯二村,3
306去程,清水國中,6
306去程,南社里,5
306去程,牛埔,6
306去程,西牛埔,4
306去程,東糠榔,6
306去程,糠榔,4
306去程,竹圍(港埠路),4
306去程,臺中港郵局,4
306去程,臺銀中港分行,5
306去程,國都飯店,5
306去程,頂寮里,3
306去程,下寮里,3
306去程,下寮社區,4
306去程,梧棲(朝元宮),4
306去程,安仁里,6
306去程,梧棲國小,4
306去程,臺灣大道港埠路口,3
306去程,大庄(浩天宮),5
306去程,邱厝庄,6
306去程,童綜合醫院(梧棲院區),3
306去程,體育館前,3
306去程,東大庄,4
306去程,三條圳,5
306去程,中港國小,4
306去程,第一銀行(沙鹿分行),6
306去程,巨業沙鹿站,5
306去程,洛泉里,6
306去程,沙鹿高工(中山路),5
306去程,中山鎮政路口,6
306去程,中山臺灣大道口,4
306去程,竹林里,6
306去程,紅竹巷,3
306去程,臺灣大道北勢路口,5
306去程,靜宜大學,6
306去程,晉江寮,5
306去程,弘光科技大學,5
306去程,正英路,6
306去程,坪頂,2
306去程,東海別墅,3
306去程,榮總/東海大學,5
306去程,玉門路,5
306去程,澄清醫院,2
306去程,中港新城,3
306去程,福安,4
306去程,秋紅谷,4
306去程,新光/遠百,4
306去程,市政府,3
306去程,頂何厝,3
306去程,忠明國小,3
306去程,科博館,4
306去程,中正國小,6
306去程,茄苳腳,4
306去程,臺灣大道原子街口,6
306去程,臺灣大道中華路口,2
306去程,仁愛醫院,6
306去程,第二市場(臺灣大道),3
306去程,彰化銀行(臺灣大道),2
306去程,第一廣場,6
306去程,臺中火車站,4
306回程,臺中火車站,2
306回程,第一廣場,5
306回程,彰化銀行(臺灣大道),2
306回程,第二市場(臺灣大道),3
306回程,仁愛醫院,5
306回程,臺灣大道中華路口,6
306回程,臺灣大道原子街口,2
306回程,茄苳腳,3
306回程,中正國小,6
306回程,科博館,3
306回程,忠明國小,5
306回程,頂何厝,6
306回程,市政府,4
306回程,新光/遠百,2
306回程,秋紅谷,2
306回程,福安,6
306回程,中港新城,5
306回程,澄清醫院,2
306回程,玉門路,4
306回程,榮總/東海大學,4
306回程,東海別墅,5
306回程,坪頂,4
306回程,正英路,6
306回程,弘光科技大學,2
306回程,晉江寮,6
306回程,靜宜大學,4
306回程,臺灣大道北勢路口,4
306回程,紅竹巷,2
306回程,中山臺灣大道口,6
306回程,中山鎮政路口,6
306回程,沙鹿高工(中山路),5
306回程,洛泉里,6
306回程,巨業沙鹿站,4
306回程,第一銀行(沙鹿分行),3
306回程,中港國小,3
306回程,三條圳,3
306回程,東大庄,5
306回程,體育館前,5
306回程,童綜合醫院(梧棲院區),6
306回程,邱厝庄,4
306回程,大庄(浩天宮),4
306回程,臺灣大道港埠路口,5
306回程,梧棲國小,2
306回程,安仁里,3
306回程,梧棲(朝元宮),6
306回程,下寮社區,4
306回程,下寮里,6
306回程,頂寮里,4
306回程,國都飯店,3
306回程,臺銀中港分行,5
306回程,臺中港郵局,3
306回程,竹圍(港埠路),6
306回程,糠榔,4
306回程,東糠榔,2
306回程,西牛埔,3
306回程,牛埔,5
306回程,南社里,2
306回程,清水國中,2
306回程,銀聯二村,5
306回程,社口,3
306回程,鰲峰西社路口,2
306回程,分局前,5
306回程,清水,2
306W去程,臺中火車站,6
306W去程,第一廣場,2
306W去程,彰化銀行(臺灣大道),3
306W去程,第二市場(臺灣大道),4
306W去程,仁愛醫院,3
306W去程,臺灣大道中華路口,5
306W去程,臺灣大道原子街口,6
306W去程,茄苳腳,6
306W去程,中正國小,6
306W去程,科博館,5
306W去程,忠明國小,2
306W去程,頂何厝,2
306W去程,市政府,3
306W去程,新光/遠百,3
306W去程,秋紅谷,2
306W去程,福安,5
306W去程,中港新城,3
306W去程,澄清醫院,5
306W去程,玉門路,6
306W去程,榮總/東海大學,3
306W去程,東海別墅,3
306W去程,坪頂,4
306W去程,正英路,5
306W去程,弘光科技大學,5
306W去程,晉江寮,6
306W去程,靜宜大學,2
306W去程,臺灣大道北勢路口,2
306W去程,紅竹巷,4
306W去程,竹林里,2
306W去程,中山臺灣大道口,4
306W去程,中山鎮政路口,3
306W去程,沙鹿高工(中山路),5
306W去程,洛泉里,3
306W去程,巨業沙鹿站,4
306W去程,第一銀行(沙鹿分行),4
306W去程,中港國小,5
306W去程,三條圳,4
306W去程,東大庄,2
306W去程,體育館前,3
306W去程,童綜合醫院(梧棲院區),5
306W去程,邱厝庄,3
306W去程,大庄(浩天宮),4
306W去程,臺灣大道港埠路口,4
306W去程,梧棲國小,5
306W去程,安仁里,3
306W去程,梧棲(朝元宮),5
306W去程,下寮社區,4
306W去程,下寮里,3
306W去程,頂寮里,5
306W去程,國都飯店,6
306W去程,臺銀中港分行,5
306W去程,臺中港郵局,5
306W去程,竹圍(港埠路),4
306W去程,糠榔,5
306W去程,東糠榔,3
306W去程,西牛埔,5
306W去程,牛埔,2
306W去程,南社里,6
306W去程,清水國中,2
306W去程,銀聯二村,2
306W去程,社口,4
306W去程,鰲峰西社路口,5
306W去程,分局前,6
306W去程,清水,4
306E去程,清水,3
306E去程,分局前,2
306E去程,鰲峰西社路口,4
306E去程,社口,3
306E去程,銀聯二村,4
306E去程,清水國中,6
306E去程,南社里,5
306E去程,牛埔,5
306E去程,西牛埔,5
306E去程,東糠榔,4
306E去程,糠榔,4
306E去程,竹圍(港埠路),3
306E去程,臺中港郵局,4
306E去程,臺銀中港分行,2
306E去程,國都飯店,2
306E去程,頂寮里,3
306E去程,下寮里,6
306E去程,下寮社區,4
306E去程,梧棲(朝元宮),2
306E去程,安仁里,3
306E去程,梧棲國小,4
306E去程,臺灣大道港埠路口,6
306E去程,大庄(浩天宮),6
306E去程,邱厝庄,3
306E去程,童綜合醫院(梧棲院區),4
306E去程,體育館前,5
306E去程,東大庄,2
306E去程,三條圳,3
306E去程,中港國小,3
306E去程,第一銀行(沙鹿分行),3
306E去程,巨業沙鹿站,6
306E去程,洛泉里,4
306E去程,沙鹿高工(中山路),6
306E去程,中山鎮政路口,2
306E去程,中山臺灣大道口,2
306E去程,竹林里,4
306E去程,紅竹巷,2
306E去程,臺灣大道北勢路口,6
306E去程,靜宜大學,6
306E去程,晉江寮,4
306E去程,弘光科技大學,2
306E去程,正英路,5
306E去程,坪頂,4
306E去程,東海別墅,5
306E去程,榮總/東海大學,2
306E去程,玉門路,6
306E去程,澄清醫院,2
306E去程,中港新城,2
306E去程,福安,5
306E去程,秋紅谷,3
306E去程,新光/遠百,3
306E去程,市政府,6
306E去程,頂何厝,6
306E去程,忠明國小,2
306E去程,科博館,3
306E去程,中正國小,2
306E去程,茄苳腳,5
306E去程,臺灣大道原子街口,5
306E去程,臺灣大道中華路口,2
306E去程,仁愛醫院,4
306E去程,第二市場(臺灣大道),2
306E去程,彰化銀行(臺灣大道),5
306E去程,第一廣場,4
306E去程,臺中火車站,4
306區1去程,靜宜大學,2
